date,daily_pnl,equity,peak,drawdown
2025-09-05,-0.1108,2.8892,2.8892,0.0
2025-09-06,0.5943,3.4835000000000003,3.4835000000000003,0.0
2025-09-08,-0.0769,3.4066,3.4835000000000003,-0.07690000000000019
2025-09-10,0.632,4.038600000000001,4.038600000000001,0.0
2025-09-16,0.3892,4.4278,4.4278,0.0
2025-09-21,0.4339,4.8617,4.8617,0.0
2025-09-23,-0.2878,4.5739,4.8617,-0.28779999999999983
2025-09-24,-0.089,4.4849,4.8617,-0.37680000000000025
2025-10-02,0.3642,4.8491,4.8617,-0.012599999999999945
2025-10-03,0.345,5.194100000000001,5.194100000000001,0.0
2025-10-07,0.3002,5.4943,5.4943,0.0
2025-10-08,0.26670000000000005,5.761,5.761,0.0
2025-10-12,0.3211,6.0821000000000005,6.0821000000000005,0.0
2025-10-28,0.1567,6.2387999999999995,6.2387999999999995,0.0
2025-10-30,0.3502,6.589,6.589,0.0
2025-10-31,-0.1039,6.4851,6.589,-0.10390000000000033
2025-11-02,-0.5,5.9851,6.589,-0.6039000000000003
2025-11-04,-0.1157,5.869400000000001,6.589,-0.7195999999999998
2025-11-08,-0.1671,5.7023,6.589,-0.8867000000000003
2025-11-09,0.5834,6.2857,6.589,-0.3033000000000001
2025-11-11,-0.5,5.7857,6.589,-0.8033000000000001
2025-11-14,0.3576,6.1433,6.589,-0.44570000000000043
2025-11-17,0.1174,6.2607,6.589,-0.3283000000000005
2025-11-21,0.4191,6.6798,6.6798,0.0
2025-11-22,-0.1564,6.5234000000000005,6.6798,-0.15639999999999965
2025-11-23,0.1408,6.6642,6.6798,-0.015600000000000058
2025-11-24,-0.1496,6.5146,6.6798,-0.16520000000000046
2025-11-25,0.5066,7.0212,7.0212,0.0
2025-11-28,0.3777,7.3989,7.3989,0.0
2025-11-30,0.4141,7.813000000000001,7.813000000000001,0.0
2025-12-01,-0.1746,7.638400000000001,7.813000000000001,-0.17459999999999987
2025-12-02,0.5297,8.1681,8.1681,0.0
2025-12-04,0.3408,8.5089,8.5089,0.0
2025-12-05,-0.09,8.4189,8.5089,-0.08999999999999986
2025-12-06,-0.5,7.918900000000001,8.5089,-0.5899999999999999
2025-12-07,0.4134,8.3323,8.5089,-0.17660000000000053
2025-12-08,0.5062,8.8385,8.8385,0.0
2025-12-14,0.1513,8.9898,8.9898,0.0
2025-12-18,0.4771,9.4669,9.4669,0.0
2025-12-23,0.367,9.8339,9.8339,0.0
2025-12-24,0.4366,10.270500000000002,10.270500000000002,0.0
2025-12-26,-0.268,10.002500000000001,10.270500000000002,-0.2680000000000007
2025-12-28,0.4001,10.402600000000001,10.402600000000001,0.0
2025-12-31,-0.192,10.210600000000001,10.402600000000001,-0.19200000000000017
2026-01-01,-0.1011,10.1095,10.402600000000001,-0.2931000000000008
2026-01-02,-0.0973,10.012200000000002,10.402600000000001,-0.39039999999999964
2026-01-03,0.432,10.444200000000002,10.444200000000002,0.0
2026-01-06,0.2516,10.695800000000002,10.695800000000002,0.0
2026-01-14,-0.0943,10.601500000000001,10.695800000000002,-0.0943000000000005
2026-01-15,0.17400000000000002,10.775500000000003,10.775500000000003,0.0
2026-01-16,-0.1085,10.667000000000002,10.775500000000003,-0.10850000000000115
2026-01-21,0.6091,11.276100000000003,11.276100000000003,0.0
2026-01-22,1.0183,12.294400000000003,12.294400000000003,0.0
2026-01-26,0.1498,12.444200000000004,12.444200000000004,0.0
2026-01-29,-0.3471,12.097100000000005,12.444200000000004,-0.3470999999999993
2026-02-04,-0.1004,11.996700000000004,12.444200000000004,-0.4474999999999998
2026-02-09,-0.1135,11.883200000000004,12.444200000000004,-0.5609999999999999
2026-02-10,-0.04509999999999997,11.838100000000004,12.444200000000004,-0.6060999999999996
2026-02-15,0.3777,12.215800000000005,12.444200000000004,-0.22839999999999883
2026-02-19,-0.1667,12.049100000000005,12.444200000000004,-0.39509999999999934
2026-02-20,-0.5,11.549100000000005,12.444200000000004,-0.8950999999999993
2026-02-23,0.4459,11.995000000000005,12.444200000000004,-0.4491999999999994
2026-02-24,0.3867,12.381700000000004,12.444200000000004,-0.0625
2026-02-28,-0.5,11.881700000000004,12.444200000000004,-0.5625
2026-03-01,-0.5,11.381700000000004,12.444200000000004,-1.0625
2026-03-02,-0.1188,11.262900000000004,12.444200000000004,-1.1813000000000002
2026-03-03,0.503,11.765900000000004,12.444200000000004,-0.6783000000000001
2026-03-06,0.1758,11.941700000000004,12.444200000000004,-0.5024999999999995
2026-03-07,0.7655,12.707200000000004,12.707200000000004,0.0
2026-03-09,0.6261,13.333300000000003,13.333300000000003,0.0
2026-03-10,-0.5,12.833300000000003,13.333300000000003,-0.5
2026-03-16,-0.2465,12.586800000000004,13.333300000000003,-0.7464999999999993
2026-03-19,0.917,13.503800000000004,13.503800000000004,0.0
2026-03-25,-0.1605,13.343300000000003,13.503800000000004,-0.16050000000000075
2026-03-27,0.4608,13.804100000000004,13.804100000000004,0.0
2026-03-28,-0.1407,13.663400000000003,13.804100000000004,-0.1407000000000007
2026-03-31,0.5709,14.234300000000003,14.234300000000003,0.0
2026-04-05,0.4114,14.645700000000003,14.645700000000003,0.0
2026-04-06,0.6312,15.276900000000003,15.276900000000003,0.0
2026-04-08,0.3365,15.613400000000002,15.613400000000002,0.0
2026-04-09,-0.125,15.488400000000002,15.613400000000002,-0.125
2026-04-10,0.5619000000000001,16.0503,16.0503,0.0
2026-04-12,0.4781,16.5284,16.5284,0.0
2026-04-19,-0.5,16.0284,16.5284,-0.5
2026-04-21,0.5684,16.5968,16.5968,0.0
2026-04-22,-0.5,16.0968,16.5968,-0.5
2026-04-26,-0.0945,16.0023,16.5968,-0.5945
